토스 국내 송금 기능 – 기획 내용 정의,,,,
■ 서비스 개요,,,,
서비스명,토스(Toss) 국내 송금,,,
운영사,비바리퍼블리카,,,
기능명,국내 계좌 송금,,,
대상 사용자,토스 앱 가입 완료 + 본인인증 완료 사용자,,,
목적,사용자가 수취인의 계좌로 원화를 간편하게 송금할 수 있도록 한다,,,
,,,,
■ 기능 요구사항,,,,
No,구분,요구사항 ID,요구사항 내용,비고
1,진입 조건,REQ-001,사용자는 토스 앱에 로그인된 상태여야 송금 기능에 접근할 수 있다.,
2,진입 조건,REQ-002,본인인증(휴대폰/계좌인증)이 완료된 사용자만 송금이 가능하다.,
3,수취인 입력,REQ-003,사용자는 연락처 검색 또는 계좌번호 직접 입력으로 수취인을 지정할 수 있다.,
4,수취인 입력,REQ-004,"계좌번호 입력 시 번호 체계를 자동 인식하여 은행이 자동 선택 또는 추천되며, 이후 수취인 이름이 조회된다.",
5,수취인 입력,REQ-005,"존재하지 않는 계좌번호 입력 시 ""계좌를 확인해 주세요"" 오류 메시지를 노출한다.",
6,금액 입력,REQ-006,송금 금액은 최소 1원 이상 입력 가능하다.,
7,금액 입력,REQ-007,"1회 송금 한도는 200만 원이며, 초과 시 ""1회 한도를 초과했습니다"" 메시지를 노출한다.",
8,금액 입력,REQ-008,"1일 누적 한도는 1,000만 원이며, 초과 시 ""오늘 한도를 모두 사용했습니다"" 메시지를 노출한다.",
9,금액 입력,REQ-009,"잔액 부족 시 ""잔액이 부족합니다"" 메시지를 노출하고 송금을 진행할 수 없다.",
10,금액 입력,REQ-010,"금액 입력란에는 숫자만 입력 가능하며, 문자 입력 시 입력되지 않는다.",
11,송금 확인,REQ-011,"송금 전 수취인명, 은행, 계좌번호, 금액, 수수료를 확인하는 화면을 제공한다.",
12,송금 확인,REQ-012,"토스는 조건 없는 송금 수수료 전면 무료 정책을 시행하며, 송금 확인 화면에서 ""수수료 무료"" 문구를 표시한다.",
13,인증,REQ-013,송금 최종 확인 후 PIN 번호 또는 생체인증(지문/Face ID)으로 본인 확인을 거쳐야 한다.,
14,인증,REQ-014,"PIN 번호 5회 오류 시 송금 기능이 잠기며, 잠금 해제 안내를 제공한다.",
15,송금 완료,REQ-015,"송금 성공 시 완료 화면에 수취인명, 금액, 처리 시각을 표시한다.",
16,송금 완료,REQ-016,송금 성공 시 송금인과 수취인 모두에게 푸시 알림을 발송한다.,
17,송금 완료,REQ-017,송금 내역은 거래 내역 탭에 실시간으로 반영된다.,
18,오류 처리,REQ-018,"네트워크 오류 발생 시 ""네트워크를 확인해 주세요"" 메시지를 노출하고 송금은 처리되지 않는다.",
19,오류 처리,REQ-019,"서버 오류 발생 시 ""일시적인 오류가 발생했습니다. 잠시 후 다시 시도해 주세요"" 메시지를 노출한다.",
20,보안,REQ-020,"사기 의심 계좌로 지정된 수취인에게 송금 시도 시 경고 팝업을 노출하고, 사용자가 강행할 경우 추가 확인 절차를 진행한다.",
21,예외 처리,REQ-021,타행 점검 시간(23:30~00:30)에 해당 은행 계좌로 송금 시도 시 지연 안내 또는 점검 중 오류 메시지를 제공한다.,
22,인증,REQ-022,생체인증(지문/Face ID) 연속 인식 실패 시 PIN 입력 화면으로 자동 전환(Fallback)된다.,
23,UX 방어,REQ-023,송금 인증 진행 중 OS 뒤로가기(Android 물리 버튼/iOS 스와이프 백) 시 송금을 중단하고 이전 화면으로 복귀한다.,
24,오류 처리,REQ-024,[보내기] 버튼을 빠르게 연속 탭(더블탭) 시 중복 송금을 방지하고 1건만 처리한다.,